DATE,FOOD_ITEM,DISC_ID,DISC_AMT,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20171201,FISH & CHIPS,4,4.53,114233,1000,71829,71844,1
20171201,BUFF.BREAKFAST(A),15,10.94,114235,1000,83135,83342,2
20171201,ENGLISH B/F TEA,15,1.7,114236,1000,94309,94421,1
20171201,F.BREWED COFFEE,15,1.98,114236,1000,94309,94421,1
20171201,CAPPUCINO,15,2.07,114236,1000,94309,94421,1
20171201,BUFF.BREAKFAST(A),15,5.47,114237,1000,100251,100350,1
20171201,BUFF.BREAKFAST(A),41,24.62,114239,1000,103821,104047,3
20171201,HEALTHY SET A,85,27.83,114241,1001,113219,120732,1
20171201,FETT.CARBONARA,15,3.58,114243,1000,121224,130306,3
20171201,LAKSA JOHOR,15,3.21,114243,1000,121224,130306,3
20171201,MANGO JUICE,15,1.51,114243,1000,121224,130306,3
20171201,NASI LEMAK,15,3.21,114243,1000,121224,130306,3
20171201,FRESH HONEYDEW,15,1.98,114243,1000,121224,130306,3
20171201,PINEAPPLE JUICE,15,1.51,114243,1000,121224,130306,3
20171201,INCHE KABIN,15,3.58,114250,1000,173003,190242,2
20171201,BITTER LEMON,15,1.32,114250,1000,173003,190242,2
20171201,FISH & CHIPS,15,4.53,114250,1000,173003,190242,2
20171201,PRAWN TOSTADAS,15,3.58,114250,1000,173003,190242,2
20171201,APPLE PIE,15,1.89,114250,1000,173003,190242,2
20171201,HOT MONKEY,15,1.89,114250,1000,173003,190242,2
20171201,EASTIN CLUB,85,18.87,114251,1001,174051,183048,1
20171201,COKE LIGHT,85,6.6,114252,1001,175711,183214,1
20171201,NASI LEMAK,85,19.81,114252,1001,175711,183214,1
20171201,CHICKEN RICE,85,19.81,114253,1001,180247,185039,1
20171202,BUFF.BREAKFAST(A),15,10.94,114270,1000,83659,84603,2
20171202,BUFF.BREAKFAST(A),35,10.94,114271,1000,83904,84428,1
20171202,BUFF.BREAKFAST(A),15,5.47,114272,1000,91849,91941,1
20171202,BUFF.BREAKFAST(A),15,10.94,114273,1000,93840,94112,2
20171202,BUFF.BREAKFAST(A),15,10.94,114274,1000,95205,104334,2
20171202,MUSHROOM SOUP,85,13.21,114276,1001,103838,113831,1
20171202,CHICKEN RICE,85,19.81,114276,1001,103838,113831,1
20171202,FRUIT PLATE,85,10.85,114276,1001,103838,113831,1
20171202,TV SET 1,85,27.83,114277,1001,110042,113959,1
20171202,MILO TARIK,15,1.89,114288,1000,143757,154425,1
20171202,CAFE LATTE,15,2.07,114288,1000,143757,154425,1
20171202,NASI LEMAK,15,6.41,114288,1000,143757,154425,1
20171202,BUFF.HI-TEA(A),41,77.26,114289,1000,144450,160830,7
20171202,BUFF.HI-TEA(A),41,342.17,114290,1000,145053,145951,31
20171202,N NUMB TONGUE,15,3.77,114304,1000,191501,213847,8
20171202,CHAR KWAY TEOW,15,3.21,114304,1000,191501,213847,8
20171202,EASTIN CLUB,15,3.49,114304,1000,191501,213847,8
20171202,NAPOLITANO,15,3.02,114304,1000,191501,213847,8
20171202,CHAR KWAY TEOW,15,3.21,114304,1000,191501,213847,8
20171202,MOLTEN CAKE,15,2.17,114304,1000,191501,213847,8
20171202,MEE MAMAK,15,3.21,114304,1000,191501,213847,8
20171202,CHAR KWAY TEOW,15,3.21,114304,1000,191501,213847,8
20171202,HOT MONKEY,15,1.89,114304,1000,191501,213847,8
20171202,FETT.CARBONARA,15,3.58,114304,1000,191501,213847,8
20171202,CALAMARI,85,12.26,114308,1001,203056,210152,1
20171202,TOM YAM GOONG,85,22.17,114308,1001,203056,210152,1
20171202,MONTH CAKE SLC,3,11.32,114311,1000,214344,214351,1
20171202,EGG,4,0.57,114312,1000,214554,220706,1
20171203,BUFF.BREAKFAST(A),15,10.94,114327,1000,93351,95037,2
20171203,NESCAFE TARIK,15,1.89,114328,1000,95159,110624,1
20171203,CHIC CHOP RICE,98,14.43,114330,1000,115936,120124,1
20171203,BUFF.HI-TEA(A),41,198.68,114331,1000,124656,153315,19
20171203,BUFF.HI-TEA(A),41,22.08,114331,1000,124656,153315,19
20171203,BUFF.HI-TEA(C),41,5.52,114331,1000,124656,153315,19
20171203,ICE LEMON TEA,15,1.79,114332,1000,124928,141500,2
20171203,BUTTER FISH,15,4.62,114332,1000,124928,141500,2
20171203,ARUGULA SALAD,15,2.64,114332,1000,124928,141500,2
20171203,QUESADILLA,15,3.21,114332,1000,124928,141500,2
20171203,ICE LEMON TEA,15,3.58,114332,1000,124928,141500,2
20171203,MEXICANA,15,3.77,114332,1000,124928,141500,2
20171203,BUFF.HI-TEA(A),35,73.58,114336,1000,133921,151149,5
20171203,BUFF.HI-TEA(A),41,143.49,114347,1000,155419,155601,13
20171203,FRUIT PLATE,85,10.85,114350,1001,161954,170018,1
20171203,N NUMB TONGUE,85,19.81,114351,1001,180159,190036,1
20171203,COKE,85,6.6,114351,1001,180159,190036,1
20171203,HEALTHY SET A,85,27.83,114352,1001,180312,190056,1
20171203,SATAY,85,16.51,114356,1001,184232,190344,1
20171203,FRUIT PLATE,85,10.85,114356,1001,184232,190344,1
20171203,FRUIT PLATE,85,10.85,114357,1001,185422,191530,1
20171203,FRESH ORANGE,85,9.9,114357,1001,185422,191530,1
20171203,TV SET 3,85,27.83,114359,1001,204708,214140,1
20171203,CHAR KWAY TEOW,15,3.21,114361,1000,213555,223213,2
20171203,CHIC CHOP RICE,15,3.21,114361,1000,213555,223213,2
20171204,BUFF.BREAKFAST(C),15,2.74,114373,1000,75914,80005,1
20171204,BUFF.BREAKFAST(A),15,5.47,114374,1000,83833,91212,1
20171204,BUFF.BREAKFAST(A),15,21.89,114376,1000,94921,95059,4
20171204,CHIC CHOP RICE,67,16.04,114400,1000,212234,221400,2
20171205,BUFF.BREAKFAST(A),15,5.47,114411,1000,74156,195349,1
20171205,BUFF.BREAKFAST(A),17,10.94,114412,1000,74640,135134,2
20171205,BUFF.BREAKFAST(C),15,2.74,114413,1000,80524,135156,1
20171205,BUFF.BREAKFAST(A),15,5.47,114414,1000,82704,195221,1
20171205,BUFF.BREAKFAST(C),15,10.94,114415,1000,85257,135530,5
20171205,BUFF.BREAKFAST(A),15,5.47,114415,1000,85257,135530,5
20171205,BUFF.BREAKFAST(A),15,5.47,114416,1000,91629,195102,1
20171205,BUFF.BREAKFAST(A),41,16.41,114417,1000,91822,135019,2
20171205,BUFF.BREAKFAST(A),15,10.94,114418,1000,94944,194920,2
20171205,BUFF.LUNCH(A),18,8.3,114422,1000,120917,140504,3
20171205,BUFF.LUNCH(A),18,16.6,114422,1000,120917,140504,3
20171205,MONTH CAKE SLC,35,4.53,114424,1000,123709,134453,1
20171205,N NUMB TONGUE,15,3.77,114426,1000,133836,144549,1
20171205,HOT CHOCOLATE,15,1.89,114426,1000,133836,144549,1
20171205,TOMATO JUICE,15,1.51,114428,1000,144307,144611,1
20171205,LAKSA JOHOR,15,3.21,114428,1000,144307,144611,1
20171205,EASTIN CLUB,15,3.49,114435,1000,193224,205407,1
20171205,COKE LIGHT,15,1.32,114435,1000,193224,205407,1
20171205,FRESH APPLE,15,1.98,114441,1000,211832,212214,1
20171205,FISH & CHIPS,15,4.53,114441,1000,211832,212214,1
20171206,F.BREWED COFFEE,15,1.98,114456,1000,75110,80646,1
20171206,BUFF.BREAKFAST(C),15,2.74,114457,1000,82300,82359,1
20171206,BUFF.BREAKFAST(A),15,5.47,114459,1000,84824,84908,1
20171206,BUFF.LUNCH(A),98,149.43,114463,1000,133243,133322,12
20171206,NYONYA CURRY,85,16.51,114465,1001,134732,141607,1
20171206,CURRY GROUPER,15,5.66,114468,1000,140424,140837,1
20171206,HEALTHY SET A,85,27.83,114471,1001,142358,150915,1
20171206,N NUMB TONGUE,85,19.81,114475,1001,164940,172057,1
20171206,CAPPUCINO,15,2.07,114481,1000,172823,180939,2
20171206,CAFE LATTE,15,2.07,114481,1000,172823,180939,2
20171206,MONTH CAKE SLC,15,2.26,114481,1000,172823,180939,2
20171206,CHAR KWAY TEOW,85,16.51,114482,1001,174700,182356,1
20171206,OPEN PTY-CAKE,68,7.07,114483,1000,184443,184612,1
20171206,MONTH CAKE SLC,3,5.66,114484,1000,185433,185441,1
20171206,CAESER SALAD,4,2.83,114486,1000,190051,193735,1
20171206,WHITE LOAF,3,13.21,114487,1000,190835,190921,1
20171206,MONTH CAKE SLC,3,11.32,114493,1000,204242,204251,1
20171206,NASI LEMAK,15,3.21,114496,1000,210548,215004,1
